user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count,total_count,flesch_kincaid
44,0,pXsBX8XouEZjBfZAu,0.0,0,40,0,124.4
44,1,pN7d2qkqX4n3RPnCf,0.0,0,77,0,89.75
44,2,bxiMnMhGpbsuef3gL,0.0,0,141,0,61.22
44,3,kvJLntJgBmS65XC3f,0.0,0,169,0,60.31
44,4,ZB2DNQH3apeLrxE5S,0.0,0,211,0,67.15
44,5,4Go5QMMoJkjJJviL5,0.0,0,185,0,64.71
44,6,55wPKaxES4vPc7bma,0.0,0,206,0,69.75
45,0,c2FsgqFky7QrMLTnS,0.025,1,40,44,124.4
45,1,4NToZvvuq3ttdnHQk,0.025974025974025976,2,77,44,89.75
45,2,rTLe4EDawdu9zWb7p,0.028368794326241134,4,141,44,61.22
45,3,eRKcY6jND55KiDkoK,0.047337278106508875,8,169,44,60.31
45,4,9Z9se2gNKuetgLJh7,0.07582938388625593,16,211,44,67.15
45,5,5S3NRbnfjkq4jkTaJ,0.02702702702702703,5,185,44,64.71
45,6,rnnsMp4n38J5PPHhn,0.038834951456310676,8,206,44,69.75
46,0,abozBucpnbvh87N3M,0.0,0,40,15,124.4
46,1,F7XJx8zL78C7XTfzj,0.0,0,77,15,89.75
46,2,pGrcEqYNk4LCQshcX,0.02127659574468085,3,141,15,61.22
46,3,hnZgoZikuXkAGrG4o,0.023668639053254437,4,169,15,60.31
46,4,SKdNniTi7AqLXmScg,0.023696682464454975,5,211,15,67.15
46,5,3cLJ9QjscH66R3i82,0.010810810810810811,2,185,15,64.71
46,6,2238eyduJzWLjXFAo,0.0048543689320388345,1,206,15,69.75
47,0,7o5pgHmHsiqzCtR52,0.0,0,40,23,124.4
47,1,gqPRyyqNuPGfFBq7z,0.012987012987012988,1,77,23,89.75
47,2,aWb2Km7EyXDoaaiNS,0.02127659574468085,3,141,23,61.22
47,3,JZRkNKiBKWoDesBPX,0.01775147928994083,3,169,23,60.31
47,4,aTHLFHfCerM3KT4LZ,0.014218009478672985,3,211,23,67.15
47,5,HxFvmp7ByzvoZxJsB,0.032432432432432434,6,185,23,64.71
47,6,WWzpzvW6Z8K97tgSS,0.03398058252427184,7,206,23,69.75
48,0,AEAdzhm2PYSAYLqjS,0.0,0,40,28,124.4
48,1,HWAbMabmRzSiNHf8Q,0.0,0,77,28,89.75
48,2,SBQiyuqnLW9D5WAPj,0.0070921985815602835,1,141,28,61.22
48,3,HwSQzXjYn9ZyRnJRH,0.011834319526627219,2,169,28,60.31
48,4,Y5qfkZMo9YnRtz4cn,0.023696682464454975,5,211,28,67.15
48,5,mqzGdugEbY4ucDjhX,0.04864864864864865,9,185,28,64.71
48,6,aR2f2SxSTgdP8isxy,0.05339805825242718,11,206,28,69.75
49,0,G27QqyWj5KwtN9hxT,0.0,0,40,4,124.4
49,1,sTAN3zY5ekyN5JYAq,0.0,0,77,4,89.75
49,2,RNGtuCaLhqi8fHnvR,0.0,0,141,4,61.22
49,3,43jy7uSaYh4a45GSM,0.023668639053254437,4,169,4,60.31
49,4,gsjFfJ8PLrmMEJokp,0.0,0,211,4,67.15
49,5,M5m5THCyb59ephDPh,0.0,0,185,4,64.71
49,6,y5Lm8Bixz4cEWYX2c,0.0,0,206,4,69.75
50,0,uPbocMQe9JNLgyTTk,0.075,3,40,65,124.4
50,1,mnBd37KCr8wRE83DN,0.012987012987012988,1,77,65,89.75
50,2,zohdWveGHb8NppMaT,0.05673758865248227,8,141,65,61.22
50,3,4CdMbqaoMXmqsbfTH,0.05917159763313609,10,169,65,60.31
50,4,WSRTb37end79LikiZ,0.05687203791469194,12,211,65,67.15
50,5,woCYXB56Zr93BdSH3,0.03783783783783784,7,185,65,64.71
50,6,WEWA7CKapK28s5GzH,0.11650485436893204,24,206,65,69.75
